Gene	nascentRNA	PCNA	log2ratio
APEX1	458.621359223301	171.93203883495147	1.4154651364391904
APEX1	583.008	235.464	1.3080091765238973
APEX1	444.33620689655174	174.7155172413793	1.3466439587285295
APEX1	516.651376146789	194.93577981651376	1.406192196321488
APEX1	380.0729927007299	200.5985401459854	0.9219654067538366
APEX1	533.1603773584906	215.3679245283019	1.3077661678475583
APEX1	483.2268907563025	167.80672268907563	1.5259002261041779
APEX1	523.021897810219	202.79562043795622	1.3668448539757634
APEX1	548.8445945945946	212.5810810810811	1.3683844996641434
APEX1	520.3951612903226	212.31451612903226	1.293404534794052
APEX1	469.4173913043478	192.0608695652174	1.2893076782215278
APEX1	376.4485981308411	192.30841121495328	0.9690310218422342
APEX1	573.3230769230769	211.40769230769232	1.439320478600294
APEX1	413.62307692307695	185.07692307692307	1.1601916597042943
APEX1	456.37301587301585	181.33333333333334	1.3315693406594498
APEX1	494.06	202.2	1.2889032600469512
APEX1	556.0620689655173	210.5448275862069	1.4011184954413758
APEX1	461.2280701754386	243.06140350877192	0.9241594961338698
APEX1	365.2155172413793	186.36206896551724	0.9706398114653096
APEX1	444.8457711442786	212.726368159204	1.0643063663585006
APEX1	485.2457627118644	210.03389830508473	1.2080934253647195
APEX1	542.5281690140845	206.76760563380282	1.391687871029894
APEX1	522.7837837837837	207.51351351351352	1.3330091014652075
APEX1	513.7428571428571	193.40952380952382	1.4093875930408926
APEX1	602.7372262773723	196.34306569343065	1.6181525245117059
APEX1	436.7903225806452	194.6451612903226	1.166094411628947
APEX1	551.7	203.86363636363637	1.4362795190764053
APEX1	515.5214285714286	194.25714285714287	1.4080647493745233
APEX1	419.3453237410072	177.89928057553956	1.2370780918224096
APEX1	480.59574468085106	199.12765957446808	1.2711302438303325
APEX1	441.0647482014389	235.0935251798561	0.9077556530198047
APEX1	475.76	185.184	1.3612745264933066
APEX1	520.0733944954128	183.40366972477065	1.5036927294539733
APEX1	576.469696969697	213.63636363636363	1.4320875393109913
APEX1	411.31451612903226	177.61290322580646	1.211505593956277
APEX1	494.9142857142857	207.67142857142858	1.2528759423403677
APEX1	631.2025316455696	207.58860759493672	1.6043757206008633
APEX1	429.3225806451613	207.20967741935485	1.0509706712309004
APEX1	676.0817610062893	246.64150943396226	1.4547821035659572
APEX1	316.6751592356688	182.38853503184714	0.795988658974935
APEX1	530.540404040404	205.14141414141415	1.3708438519148363
APEX1	384.8828828828829	173.82882882882882	1.1467521434679753
APEX1	456.53333333333336	183.125	1.317891441483018
APEX1	365.4622641509434	187.97169811320754	0.9592069887945618
APEX1	521.520325203252	212.97560975609755	1.292035259373378
APEX1	599.2142857142857	230.34285714285716	1.3792891579981785
APEX1	508.05309734513276	188.90265486725664	1.4273363052397356
APEX1	568.3782051282051	194.19871794871796	1.5493175579831884
APEX1	408.54700854700855	177.01709401709402	1.2066134045698043
APEX1	411.7846153846154	175.01538461538462	1.2344081838753156
APEX1	413.9714285714286	168.78095238095239	1.294379100203225
APEX1	468.4171779141104	203.19018404907976	1.2049632753085404
APEX1	502.40384615384613	182.72115384615384	1.4592038426653131
APEX1	551.3148148148148	239.27777777777777	1.2041899527203528
APEX1	491.6106870229008	182.12977099236642	1.4325495135027513
APEX1	380.26666666666665	172.15833333333333	1.1432754647319885
APEX1	421.29661016949154	172.33050847457628	1.2896581765425932
APEX1	349.3435114503817	162.98473282442748	1.0999095145096955
APEX1	397.56779661016947	181.1949152542373	1.1336584312755427
APEX1	748.8181818181819	218.43636363636364	1.7774024197429388
APEX1	378.31007751937983	160.24806201550388	1.2392622982780415
APEX1	339.7079646017699	166.61061946902655	1.027814684740913
